number,value,params_alpha_sigma,params_beta_sigma,params_prob_of_success,params_sigma,state,datetime_start,datetime_complete,duration,user_attrs_mean_log_likelihood
85,-3.318147585529309,5.0,0.2,0.5,2.25,COMPLETE,2025-01-27 22:17:32.334336,2025-01-27 22:18:22.246474,0 days 00:00:49.912138,-3.318147585529309
86,-3.31938823614359,5.0,0.1,0.5,2.0,COMPLETE,2025-01-27 22:18:23.015769,2025-01-27 22:19:21.784705,0 days 00:00:58.768936,-3.31938823614359
87,-3.31938823614359,5.0,0.1,0.5,2.0,COMPLETE,2025-01-27 22:19:22.239732,2025-01-27 22:20:21.136384,0 days 00:00:58.896652,-3.31938823614359
88,-3.3179225723477828,5.0,0.2,0.5,2.0,COMPLETE,2025-01-27 22:20:21.602770,2025-01-27 22:21:08.562376,0 days 00:00:46.959606,-3.3179225723477828
89,-3.3183657158087367,5.0,0.1,0.5,1.75,COMPLETE,2025-01-27 22:21:09.025610,2025-01-27 22:22:00.717888,0 days 00:00:51.692278,-3.3183657158087367
90,-3.31938823614359,5.0,0.1,0.5,2.0,COMPLETE,2025-01-27 22:22:01.284792,2025-01-27 22:22:59.323013,0 days 00:00:58.038221,-3.31938823614359
91,-3.31938823614359,5.0,0.1,0.5,2.0,COMPLETE,2025-01-27 22:22:59.809736,2025-01-27 22:23:57.502321,0 days 00:00:57.692585,-3.31938823614359
92,-3.3183657158087367,5.0,0.1,0.5,1.75,COMPLETE,2025-01-27 22:23:57.979061,2025-01-27 22:24:51.927936,0 days 00:00:53.948875,-3.3183657158087367
93,-3.319128713745026,4.75,0.1,0.5,2.0,COMPLETE,2025-01-27 22:24:52.400958,2025-01-27 22:25:45.773565,0 days 00:00:53.372607,-3.319128713745026
94,-3.318147585529309,5.0,0.2,0.5,2.25,COMPLETE,2025-01-27 22:25:46.225655,2025-01-27 22:26:34.909859,0 days 00:00:48.684204,-3.318147585529309
95,-3.3176103559178456,4.75,0.1,0.5,1.75,COMPLETE,2025-01-27 22:26:35.394177,2025-01-27 22:27:26.965124,0 days 00:00:51.570947,-3.3176103559178456
96,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 22:27:27.456148,2025-01-27 22:28:25.890714,0 days 00:00:58.434566,-3.319827168001364
97,-3.317652166265949,4.75,0.2,0.5,2.25,COMPLETE,2025-01-27 22:28:26.369867,2025-01-27 22:29:14.522801,0 days 00:00:48.152934,-3.317652166265949
98,-3.31938823614359,5.0,0.1,0.5,2.0,COMPLETE,2025-01-27 22:29:15.006457,2025-01-27 22:30:14.811125,0 days 00:00:59.804668,-3.31938823614359
99,-3.314938001914466,2.5,0.1,0.5,2.5,COMPLETE,2025-01-27 22:30:15.295187,2025-01-27 22:31:06.941481,0 days 00:00:51.646294,-3.314938001914466
